"hybrid" "dent" "flint" "GY" "GM" "hy"
"1215" "D647:F3614" "D647" "F3614" 21.12 1.3 "647:3614"
"1216" "D647:F3615" "D647" "F3615" 5.98 1.98 "647:3615"
"1217" "D647:F3616" "D647" "F3616" 2.26 0.63 "647:3616"
"1218" "D647:F3617" "D647" "F3617" 4.62 -2.98 "647:3617"
"1219" "D652:F1863" "D652" "F1863" 18.29 2.21 "652:1863"
"1220" "D652:F3614" "D652" "F3614" 12.61 -0.06 "652:3614"
"1221" "D652:F3615" "D652" "F3615" 25.05 0.34 "652:3615"
"1222" "D652:F3616" "D652" "F3616" 10.64 -0.91 "652:3616"
"1223" "D652:F3617" "D652" "F3617" 13.49 -3.12 "652:3617"
"1224" "D652:F3618" "D652" "F3618" 22.03 0.04 "652:3618"
"1225" "D652:F3619" "D652" "F3619" 13.03 0.33 "652:3619"
"1226" "D671:F3614" "D671" "F3614" 19.1 -0.59 "671:3614"
"1227" "D671:F3616" "D671" "F3616" 7.97 -0.97 "671:3616"
"1228" "D671:F3617" "D671" "F3617" 4.35 -2.32 "671:3617"
"1229" "D671:F392" "D671" "F392" 14.77 -0.72 "671:392"
"1230" "D3209:F3619" "D3209" "F3619" 15.89 0.38 "3209:3619"
"1231" "D3209:F3620" "D3209" "F3620" 15.59 0.26 "3209:3620"
"1232" "D3283:F3615" "D3283" "F3615" 7.08 2.59 "3283:3615"
"1233" "D3283:F3620" "D3283" "F3620" 4.07 2.23 "3283:3620"
"1234" "D3605:F340" "D3605" "F340" 15.72 -0.35 "3605:340"
"1235" "D3605:F3619" "D3605" "F3619" 5.7 -1.16 "3605:3619"
"1236" "D3606:F3619" "D3606" "F3619" 14.58 -0.94 "3606:3619"
"1237" "D3608:F1863" "D3608" "F1863" 10.87 1.87 "3608:1863"
"1238" "D3608:F3217" "D3608" "F3217" 20.86 -0.71 "3608:3217"
"1239" "D3608:F3615" "D3608" "F3615" 26 0 "3608:3615"
"1240" "D3608:F3619" "D3608" "F3619" 7.48 0.61 "3608:3619"
"1241" "D3610:F340" "D3610" "F340" 7.13 -0.93 "3610:340"
"1242" "D3610:F3619" "D3610" "F3619" 7.03 0 "3610:3619"
"1243" "D3613:F340" "D3613" "F340" 19.07 0.48 "3613:340"
"1244" "D3613:F3614" "D3613" "F3614" 15.93 0.89 "3613:3614"
"1245" "D3613:F3615" "D3613" "F3615" 17.16 1.47 "3613:3615"
"1246" "D647:F3618" "D647" "F3618" 7.04 0.59 "647:3618"
"1247" "D647:F3619" "D647" "F3619" 9.2 1.86 "647:3619"
"1248" "D647:F3620" "D647" "F3620" 13.57 2.33 "647:3620"
"1249" "D652:F3620" "D652" "F3620" 17.71 -0.46 "652:3620"
"1250" "D671:F3615" "D671" "F3615" 8.71 1.2 "671:3615"
"1251" "D671:F3618" "D671" "F3618" 13.87 0.4 "671:3618"
"1252" "D671:F3619" "D671" "F3619" 11.04 -0.39 "671:3619"
"1253" "D671:F3620" "D671" "F3620" 16.39 -0.01 "671:3620"
"1254" "D3610:F3217" "D3610" "F3217" 10.36 -1.83 "3610:3217"
